,DATE,COMPANY,LT_DEBT_TO_COM_EQY
281,2012-04-24,aapl us equity,0.0
282,2012-04-23,aapl us equity,0.0
283,2012-04-22,aapl us equity,0.0
284,2012-04-19,aapl us equity,0.0
285,2012-04-18,aapl us equity,0.0
286,2012-04-17,aapl us equity,0.0
287,2012-04-16,aapl us equity,0.0
288,2012-04-15,aapl us equity,0.0
289,2012-04-12,aapl us equity,0.0
290,2012-04-11,aapl us equity,0.0
291,2012-04-10,aapl us equity,0.0
292,2012-04-09,aapl us equity,0.0
293,2012-04-08,aapl us equity,0.0
294,2012-04-05,aapl us equity,0.0
295,2012-04-04,aapl us equity,0.0
296,2012-04-03,aapl us equity,0.0
297,2012-04-02,aapl us equity,0.0
298,2012-04-01,aapl us equity,0.0
299,2012-03-29,aapl us equity,0.0
300,2012-03-28,aapl us equity,0.0
301,2012-03-27,aapl us equity,0.0
302,2012-03-26,aapl us equity,0.0
303,2012-03-25,aapl us equity,0.0
304,2012-03-22,aapl us equity,0.0
305,2012-03-21,aapl us equity,0.0
306,2012-03-20,aapl us equity,0.0
307,2012-03-19,aapl us equity,0.0
308,2012-03-18,aapl us equity,0.0
309,2012-03-15,aapl us equity,0.0
310,2012-03-14,aapl us equity,0.0
311,2012-03-13,aapl us equity,0.0
312,2012-03-12,aapl us equity,0.0
313,2012-03-11,aapl us equity,0.0
314,2012-03-08,aapl us equity,0.0
315,2012-03-07,aapl us equity,0.0
316,2012-03-06,aapl us equity,0.0
317,2012-03-05,aapl us equity,0.0
318,2012-03-04,aapl us equity,0.0
319,2012-03-01,aapl us equity,0.0
320,2012-02-29,aapl us equity,0.0
321,2012-02-28,aapl us equity,0.0
322,2012-02-27,aapl us equity,0.0
323,2012-02-26,aapl us equity,0.0
324,2012-02-23,aapl us equity,0.0
325,2012-02-22,aapl us equity,0.0
326,2012-02-21,aapl us equity,0.0
327,2012-02-20,aapl us equity,0.0
328,2012-02-19,aapl us equity,0.0
329,2012-02-16,aapl us equity,0.0
330,2012-02-15,aapl us equity,0.0
331,2012-02-14,aapl us equity,0.0
332,2012-02-13,aapl us equity,0.0
333,2012-02-12,aapl us equity,0.0
334,2012-02-09,aapl us equity,0.0
335,2012-02-08,aapl us equity,0.0
336,2012-02-07,aapl us equity,0.0
337,2012-02-06,aapl us equity,0.0
338,2012-02-05,aapl us equity,0.0
339,2012-02-02,aapl us equity,0.0
340,2012-02-01,aapl us equity,0.0
341,2012-01-31,aapl us equity,0.0
342,2012-01-30,aapl us equity,0.0
343,2012-01-29,aapl us equity,0.0
344,2012-01-26,aapl us equity,0.0
345,2012-01-25,aapl us equity,0.0
346,2012-01-24,aapl us equity,0.0
347,2012-01-23,aapl us equity,0.0
348,2012-01-22,aapl us equity,0.0
349,2012-01-19,aapl us equity,0.0
350,2012-01-18,aapl us equity,0.0
351,2012-01-17,aapl us equity,0.0
352,2012-01-16,aapl us equity,0.0
353,2012-01-15,aapl us equity,0.0
354,2012-01-12,aapl us equity,0.0
355,2012-01-11,aapl us equity,0.0
356,2012-01-10,aapl us equity,0.0
357,2012-01-09,aapl us equity,0.0
358,2012-01-08,aapl us equity,0.0
359,2012-01-05,aapl us equity,0.0
360,2012-01-04,aapl us equity,0.0
361,2012-01-03,aapl us equity,0.0
362,2012-01-02,aapl us equity,0.0
363,2012-01-01,aapl us equity,0.0
364,2011-12-29,aapl us equity,0.0
365,2011-12-28,aapl us equity,0.0
366,2011-12-27,aapl us equity,0.0
367,2011-12-26,aapl us equity,0.0
368,2011-12-25,aapl us equity,0.0
369,2011-12-22,aapl us equity,0.0
370,2011-12-21,aapl us equity,0.0
371,2011-12-20,aapl us equity,0.0
372,2011-12-19,aapl us equity,0.0
373,2011-12-18,aapl us equity,0.0
374,2011-12-15,aapl us equity,0.0
375,2011-12-14,aapl us equity,0.0
376,2011-12-13,aapl us equity,0.0
377,2011-12-12,aapl us equity,0.0
378,2011-12-11,aapl us equity,0.0
379,2011-12-08,aapl us equity,0.0
380,2011-12-07,aapl us equity,0.0
381,2011-12-06,aapl us equity,0.0
382,2011-12-05,aapl us equity,0.0
383,2011-12-04,aapl us equity,0.0
384,2011-12-01,aapl us equity,0.0
385,2011-11-30,aapl us equity,0.0
386,2011-11-29,aapl us equity,0.0
387,2011-11-28,aapl us equity,0.0
388,2011-11-27,aapl us equity,0.0
389,2011-11-24,aapl us equity,0.0
390,2011-11-23,aapl us equity,0.0
391,2011-11-22,aapl us equity,0.0
392,2011-11-21,aapl us equity,0.0
393,2011-11-20,aapl us equity,0.0
394,2011-11-17,aapl us equity,0.0
395,2011-11-16,aapl us equity,0.0
396,2011-11-15,aapl us equity,0.0
397,2011-11-14,aapl us equity,0.0
398,2011-11-13,aapl us equity,0.0
399,2011-11-10,aapl us equity,0.0
400,2011-11-09,aapl us equity,0.0
401,2011-11-08,aapl us equity,0.0
402,2011-11-07,aapl us equity,0.0
403,2011-11-06,aapl us equity,0.0
404,2011-11-03,aapl us equity,0.0
405,2011-11-02,aapl us equity,0.0
406,2011-11-01,aapl us equity,0.0
407,2011-10-31,aapl us equity,0.0
408,2011-10-30,aapl us equity,0.0
409,2011-10-27,aapl us equity,0.0
410,2011-10-26,aapl us equity,0.0
411,2011-10-25,aapl us equity,0.0
412,2011-10-24,aapl us equity,0.0
413,2011-10-23,aapl us equity,0.0
414,2011-10-20,aapl us equity,0.0
415,2011-10-19,aapl us equity,0.0
416,2011-10-18,aapl us equity,0.0
417,2011-10-17,aapl us equity,0.0
418,2011-10-16,aapl us equity,0.0
419,2011-10-13,aapl us equity,0.0
420,2011-10-12,aapl us equity,0.0
421,2011-10-11,aapl us equity,0.0
422,2011-10-10,aapl us equity,0.0
423,2011-10-09,aapl us equity,0.0
424,2011-10-06,aapl us equity,0.0
425,2011-10-05,aapl us equity,0.0
426,2011-10-04,aapl us equity,0.0
427,2011-10-03,aapl us equity,0.0
428,2011-10-02,aapl us equity,0.0
429,2011-09-29,aapl us equity,0.0
430,2011-09-28,aapl us equity,0.0
431,2011-09-27,aapl us equity,0.0
432,2011-09-26,aapl us equity,0.0
433,2011-09-25,aapl us equity,0.0
434,2011-09-22,aapl us equity,0.0
435,2011-09-21,aapl us equity,0.0
436,2011-09-20,aapl us equity,0.0
437,2011-09-19,aapl us equity,0.0
438,2011-09-18,aapl us equity,0.0
439,2011-09-15,aapl us equity,0.0
440,2011-09-14,aapl us equity,0.0
441,2011-09-13,aapl us equity,0.0
442,2011-09-12,aapl us equity,0.0
443,2011-09-11,aapl us equity,0.0
444,2011-09-08,aapl us equity,0.0
445,2011-09-07,aapl us equity,0.0
446,2011-09-06,aapl us equity,0.0
447,2011-09-05,aapl us equity,0.0
448,2011-09-04,aapl us equity,0.0
449,2011-09-01,aapl us equity,0.0
450,2011-08-31,aapl us equity,0.0
451,2011-08-30,aapl us equity,0.0
452,2011-08-29,aapl us equity,0.0
453,2011-08-28,aapl us equity,0.0
454,2011-08-25,aapl us equity,0.0
455,2011-08-24,aapl us equity,0.0
456,2011-08-23,aapl us equity,0.0
457,2011-08-22,aapl us equity,0.0
458,2011-08-21,aapl us equity,0.0
459,2011-08-18,aapl us equity,0.0
460,2011-08-17,aapl us equity,0.0
461,2011-08-16,aapl us equity,0.0
462,2011-08-15,aapl us equity,0.0
463,2011-08-14,aapl us equity,0.0
464,2011-08-11,aapl us equity,0.0
465,2011-08-10,aapl us equity,0.0
466,2011-08-09,aapl us equity,0.0
467,2011-08-08,aapl us equity,0.0
468,2011-08-07,aapl us equity,0.0
469,2011-08-04,aapl us equity,0.0
470,2011-08-03,aapl us equity,0.0
471,2011-08-02,aapl us equity,0.0
472,2011-08-01,aapl us equity,0.0
473,2011-07-31,aapl us equity,0.0
474,2011-07-28,aapl us equity,0.0
475,2011-07-27,aapl us equity,0.0
476,2011-07-26,aapl us equity,0.0
477,2011-07-25,aapl us equity,0.0
478,2011-07-24,aapl us equity,0.0
479,2011-07-21,aapl us equity,0.0
480,2011-07-20,aapl us equity,0.0
